,Unnamed: 0,nama,brand,harga,terjual,gambar
210,210,"Asus Vivobook S14 S5406SA 14"" WUXGA OLED Intel Ultra 7 258V 32GB 1TB W11H Laptop",Certified - Refurbished,1153775000,82,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
211,211,"Microsoft Surface Pro 8 13"" QHD 120 Hz Touch i7-1185G7 16GB 512GB Keyboard + Pen",Pre-Owned,997483375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
212,212,"Lenovo LOQ Essential 15.6"" FHD 144Hz Gaming Laptop i5-12450HX RTX 4050 8GB 512GB",Brand New,980791875,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
213,213,"New ListingLenovo ThinkPad X1 Carbon Gen 8 14""FHD i7-10510U 1.8GHz 16GB  512 SSD,charger",Pre-Owned,447212500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
214,214,New ListingDell Latitude 5550 Laptop -Core i5 Ultra 5 125u 16GB 512GB-Webcam-Dell Wty 1/28,Pre-Owned,763087500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
215,215,"2024 Apple M4 Max MacBook Pro 16.2"" 36GB/1TB (Black) 5X303LL/A w/Year Warranty",Excellent - Refurbished,4007605875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
216,216,2025 SGIN Laptop Notebook 17.3 Intel Processor Up to 4GB RAM 128GB SSD,Brand New,330820875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
217,217,New ListingDell Latitude 5520 Laptop - 11th Gen i5-1145G7 16GB 512GB Cam Backlit Touch Sp16,Pre-Owned,330837500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
218,218,"New ListingDell Latitude 5440 Used 14"" i7-1370P, 32GB RAM, 512GB NVMe",Pre-Owned,814608375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
219,219,"Dell Latitude Laptop Intel Core i3 14"" HD 8GB RAM 256GB SSD Windows 11",Good - Refurbished,297770375,425,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
